,0
1500015A07Rik,6.130581952173366e-06
1500015L24Rik,7.36773215882935e-07
1500015O10Rik,1.8414877421404427e-05
1500016L03Rik,1.8544103373032132e-07
1500017E21Rik,4.423388783630114e-07
1500031L02Rik,1.594873581586174e-05
1500032L24Rik,8.622012873226546e-05
1520402A15Rik,3.7774084542053123e-06
1600002D24Rik,2.0116093441398755e-07
1600002H07Rik,9.65862376891763e-06
1600002K03Rik,1.080477188891627e-05
1600010M07Rik,4.1269819870890465e-06
1600012F09Rik,2.3851123912392207e-05
1600012H06Rik,3.620418647567862e-05
1600014C10Rik,3.0208568537739927e-05
1600014C23Rik,1.0310581246891355e-08
1600014K23Rik,1.6736015936983069e-09
1600015I10Rik,1.3529275740486135e-07
1600016N20Rik,5.381824553449841e-07
1600019K03Rik,9.56343767827604e-10
1600020E01Rik,6.936122262111654e-06
1600021P15Rik,3.2697692279453225e-06
1600025M17Rik,1.1954297097845048e-08
1600027N09Rik,1.2958786797234224e-05
1600029D21Rik,0.00032331322959147017
1600029I14Rik,3.7231658311238405e-07
1600029O15Rik,4.745258232989592e-07
1700001C02Rik,9.14443956499657e-07
1700001C19Rik,1.1932779363068928e-06
1700001D01Rik,1.3472193971843925e-06
1700001F09Rik,1.1117496300995895e-08
1700001G11Rik,4.0184369694406133e-07
1700001G17Rik,1.4886387318518994e-06
1700001J03Rik,1.352031001766275e-07
1700001J11Rik,8.54732242495921e-09
1700001K19Rik,1.0675187308375628e-06
1700001K23Rik,3.357364339929782e-07
1700001L05Rik,1.8512723343150289e-06
1700001L19Rik,6.156164147962754e-07
1700001O22Rik,1.0779488550554326e-06
1700001P01Rik,1.7603300191431726e-06
1700003C15Rik,7.770293113599281e-10
1700003D09Rik,4.106301053109774e-08
1700003E16Rik,1.10631042492007e-06
1700003F12Rik,2.0564379582567944e-07
1700003F17Rik,1.4312282200394984e-07
1700003G13Rik,4.823558878980477e-08
1700003G18Rik,7.313041249606709e-08
1700003H04Rik,5.379433694030272e-10
1700003L19Rik,8.368007968491534e-10
1700003M02Rik,6.952918049534126e-07
1700003M07Rik,1.0527850596644688e-06
1700003P14Rik,8.069150541045408e-10
1700006A11Rik,1.6138301082090817e-09
1700006E09Rik,1.013126679042368e-08
1700006F04Rik,2.093496279260114e-07
1700006H21Rik,2.145796329063186e-08
1700007B14Rik,4.010666676327014e-08
1700007F19Rik,1.574978642641085e-08
1700007G11Rik,4.2960755195380643e-07
1700007I08Rik,2.6628196785449845e-08
1700007J10Rik,2.6445893754707707e-07
1700007K09Rik,3.093174374067407e-08
1700007K13Rik,1.5999930093183259e-06
1700007L15Rik,2.460194342736511e-06
1700007P06Rik,1.6915330393450744e-08
1700008A04Rik,3.466746158375064e-09
1700008F21Rik,1.2791097894694202e-08
1700008I05Rik,2.860065580659428e-08
1700008J07Rik,5.9844406701522095e-06
1700008K24Rik,1.7931445646767573e-10
1700008O03Rik,4.323271545435662e-07
1700008P02Rik,7.0829210304731916e-09
1700008P20Rik,1.506241434328476e-07
1700009C05Rik,5.4989766650087225e-09
1700009J07Rik,2.8878593214119176e-07
1700009N14Rik,8.069150541045408e-10
1700009P17Rik,2.7319454015132735e-06
1700010B08Rik,5.797834092454849e-09
1700010D01Rik,1.3747441662521806e-09
1700010I02Rik,2.3310879340797844e-09
1700010I14Rik,1.1106139718752942e-06
1700010J16Rik,2.4805166478028476e-09
1700010K23Rik,4.1242324987565415e-09
1700010M22Rik,1.494287137230631e-10
1700011A15Rik,1.162555392765431e-08
1700011B04Rik,9.593323421020652e-09
1700011E24Rik,4.316696682031847e-07
1700011F03Rik,9.354237479063751e-09
1700011F14Rik,2.4207451623136224e-09
1700011H14Rik,3.759237922616588e-06
1700011I03Rik,1.1996137137687507e-07
1700011J10Rik,6.847959321015047e-06
1700011L22Rik,3.0244371657547976e-08
1700011M02Rik,2.8391455607381993e-09
1700012A03Rik,7.172578258707029e-10
1700012A16Rik,1.2447112995703712e-06
1700012B07Rik,2.7973055208957413e-08
1700012B09Rik,4.3086275314908014e-07
1700012B15Rik,5.418255273855524e-06
1700012D01Rik,9.075104641829069e-07
1700012D14Rik,1.4323937640065383e-06
1700012I11Rik,1.811076010323525e-08
1700012L04Rik,5.513919536381029e-08
1700012P22Rik,3.0722543541461775e-08
1700013D24Rik,5.767948349710236e-09
1700013F07Rik,8.562863011186409e-07
1700013G23Rik,3.797581330557926e-07
1700013G24Rik,7.561092914386994e-09
1700013H16Rik,2.2832707456884042e-08
1700013N18Rik,6.086829224795252e-07
1700014N06Rik,5.977148548922525e-11
1700015E13Rik,9.643830326259047e-07
1700015F17Rik,1.9126875356552077e-08
1700015G11Rik,4.721947353648794e-09
1700016C15Rik,3.999907808938953e-07
1700016D06Rik,6.894640851182132e-08
1700016G22Rik,2.007724197583076e-07
1700016H13Rik,6.658543483499692e-08
1700016K19Rik,6.469067874498848e-07
1700016L04Rik,1.4076184832712546e-08
1700016L21Rik,1.506241434328476e-08
1700016M24Rik,3.732729268802117e-08
1700016P04Rik,9.56343767827604e-10
1700017B05Rik,4.45991513841258e-05
1700017D01Rik,4.931147552861082e-09
1700017G19Rik,2.4207451623136223e-08
1700017J07Rik,1.5734843555038544e-07
1700017N19Rik,6.574863403814777e-09
1700018A04Rik,3.80654705338131e-07
1700018B08Rik,1.3478469977820293e-08
1700018B24Rik,1.972459021144433e-09
1700018C11Rik,1.2103725811568112e-08
1700018F24Rik,8.517436682214597e-09
1700018G05Rik,7.722475925207902e-08
1700018L02Rik,9.033862316841503e-07
1700018L24Rik,3.8522722397805666e-08
1700019A02Rik,1.6251866904520344e-07
1700019B03Rik,1.0827604596373152e-07
1700019B21Rik,4.393204183458055e-09
1700019D03Rik,9.71032610386581e-06
1700019E08Rik,3.5862891293535146e-10
1700019E19Rik,2.4481115369448642e-05
1700019G17Rik,3.285220156944287e-06
1700019G24Rik,2.145796329063186e-08
1700019L03Rik,1.2976090642283354e-06
1700019M22Rik,8.368007968491534e-10
1700019N12Rik,6.199498474942442e-07
1700019N19Rik,5.4093194367748846e-08
1700019O17Rik,8.368007968491534e-09
1700020A23Rik,2.6060367673302206e-08
1700020D05Rik,8.308236483002308e-08
1700020G17Rik,2.7733969267000513e-08
1700020I14Rik,4.036090477679856e-05
1700020L24Rik,1.3904640669358468e-06
1700020M21Rik,1.9814247439678167e-08
1700020N01Rik,1.3550195760407364e-07
1700020N15Rik,5.977148548922524e-10
1700020N18Rik,6.918549445377822e-08
1700020O03Rik,9.923560878348621e-06
