ensg,abundance
ENSG00000240374,1841
ENSG00000201542,595
ENSG00000229994,1608244
ENSG00000227409,6800
ENSG00000278702,1305
ENSG00000142687,82088599
ENSG00000236274,7943
ENSG00000020129,172590078
ENSG00000239636,470284
ENSG00000116819,5280273
ENSG00000126067,67362901
ENSG00000142686,34268548
ENSG00000092853,2187200
ENSG00000232335,7913
ENSG00000134698,51569848
ENSG00000092847,52803853
ENSG00000271164,3986
ENSG00000126070,37981013
ENSG00000271554,69641
ENSG00000232862,401540
ENSG00000092850,3895198
ENSG00000116863,26995249
ENSG00000171812,24060308
ENSG00000054116,49072194
ENSG00000116871,204754120
ENSG00000264592,2504
ENSG00000054118,141396771
ENSG00000231849,3255
ENSG00000214193,18396032
ENSG00000142694,10150068
ENSG00000116883,12610175
ENSG00000196182,104365221
ENSG00000181817,24302930
ENSG00000222821,264
ENSG00000116885,8931080
ENSG00000201448,32474
ENSG00000116898,48380052
ENSG00000119535,283471425
ENSG00000230214,530
ENSG00000234481,4963
ENSG00000163873,16496394
ENSG00000264698,28
ENSG00000207328,68
ENSG00000223944,19947
ENSG00000252368,373
ENSG00000230451,4700
ENSG00000233621,3883518
ENSG00000163874,34932110
ENSG00000283724,548
ENSG00000163875,51375291
ENSG00000263675,128
ENSG00000163877,16524459
ENSG00000232273,120365
ENSG00000237749,56058
ENSG00000163879,18176742
ENSG00000134697,43561687
ENSG00000169218,5269575
ENSG00000116922,13809764
ENSG00000134690,6620487
ENSG00000183317,8964281
ENSG00000200421,607
ENSG00000214141,17783
ENSG00000227416,8426
ENSG00000185090,3597356
ENSG00000196449,11238775
ENSG00000197982,39013589
ENSG00000188786,24338695
ENSG00000235673,5878
ENSG00000204084,36025563
ENSG00000252448,5976
ENSG00000222282,5012
ENSG00000277168,1201
ENSG00000183431,64985168
ENSG00000212541,31545
ENSG00000183386,77849344
ENSG00000183520,29095384
ENSG00000185668,4071772
ENSG00000224592,460854
ENSG00000223589,5464
